STATION;LAT;LON;DATE;PRCP;TAVG
CASTELO BRANCO;39.833;-7.483;2020-02-06;0.0;10.4
CASTELO BRANCO;39.833;-7.483;2020-02-07;0.0;11.3
CASTELO BRANCO;39.833;-7.483;2020-02-08;0.3;12.1
CASTELO BRANCO;39.833;-7.483;2020-02-09;0.0;11.9
CASTELO BRANCO;39.833;-7.483;2020-02-10;0.0;12.8
CASTELO BRANCO;39.833;-7.483;2020-02-11;0.0;12.1
CASTELO BRANCO;39.833;-7.483;2020-02-12;0.0;10.3
CASTELO BRANCO;39.833;-7.483;2020-02-13;0.0;12.1
CASTELO BRANCO;39.833;-7.483;2020-02-14;0.0;10.8
CASTELO BRANCO;39.833;-7.483;2020-02-15;0.0;11.3
CASTELO BRANCO;39.833;-7.483;2020-02-16;0.0;10.9
CASTELO BRANCO;39.833;-7.483;2020-02-17;0.0;12.4
CASTELO BRANCO;39.833;-7.483;2020-02-18;0.0;10.0
CASTELO BRANCO;39.833;-7.483;2020-02-19;0.0;11.0
CASTELO BRANCO;39.833;-7.483;2020-02-20;0.0;11.4
CASTELO BRANCO;39.833;-7.483;2020-02-21;0.0;13.2
